id,title,author,old_cover,new_cover
16682,"Maqalat e Hakeem ul Islam - مقالات حکیم الاسلام","Maulana Qari Tayyab Qasmi","https://besturdubooks.net/wp-content/uploads/2014/05/maqalat-e-hakeem-ul-islam.jpg","https://besturdubooks.net/wp-content/uploads/2023/04/MEER_ZAHID"
16671,"مولانا قاسم نانوتوی کی دینی و علمی خدمات کا تحقیقی مطالعہ","Maulana Qasim Nanotvi","https://besturdubooks.net/wp-content/uploads/2015/01/maulana-qasim-nanotvi-ki-deeni-aur-ilmi-khidmaat-ka-tahqeeqi-mutala.jpg","https://besturdubooks.net/wp-content/uploads/2018/04/JAWAHIR_UR"
16991,"Ashraf ul Marzi Urdu Sharh Maibazi اشرف المرضی","نامعلوم","https://besturdubooks.net/wp-content/uploads/2023/04/MEER_ZAHID.jpg","https://besturdubooks.net/wp-content/uploads/2018/04/ANWAAR_UR_"
16435,"Jawahir ur Rasheed By Mufti Rasheed Ahmad Ludhyanvi جواھر الرشید","Mufti Rasheed Ahmad Ludhianvi","https://besturdubooks.net/wp-content/uploads/2018/04/JAWAHIR_UR_RASHEED-1.jpg","https://besturdubooks.net/wp-content/uploads/2023/04/MEER_ZAHID"
21459,"Anwaar ur Rasheed By Mufti Rasheed Ahmad Ludhyanvi انوار الرشید","Mufti Rasheed Ahmad Ludhianvi","https://besturdubooks.net/wp-content/uploads/2018/04/ANWAAR_UR_RASHEED-1.jpg","https://besturdubooks.net/wp-content/uploads/2023/04/MEER_ZAHID"
16996,"Masdar Us Sudoor Arabic Sharh Mulla Abdul Ghafoor","نامعلوم","https://besturdubooks.net/wp-content/uploads/2023/04/MEER_ZAHID.jpg","https://besturdubooks.net/wp-content/uploads/2014/10/kitnay-bar"
16997,"Majmooa e Mantiq مجموعہ منطق","نامعلوم","https://besturdubooks.net/wp-content/uploads/2023/04/MEER_ZAHID.jpg","https://besturdubooks.net/wp-content/uploads/2023/04/ZANJANI.jp"
16484,"Kitnay Baray hain Hoslay Parvardigar kay - کتنے بڑے ہیں حوصلے پروردگار کے","Maulana Zulfiqar Ahmad Naqshbandi","https://besturdubooks.net/wp-content/uploads/2014/10/kitnay-baray-hain-hoslay-parvardigar-kay.jpg","https://besturdubooks.net/wp-content/uploads/2023/04/ZANJANI.jp"
17002,"Zanjani زنجانی","نامعلوم","https://besturdubooks.net/wp-content/uploads/2023/04/ZANJANI.jpg","https://besturdubooks.net/wp-content/uploads/2015/01/khutbat-e-"
17003,"Zanjani زنجانی","نامعلوم","https://besturdubooks.net/wp-content/uploads/2023/04/ZANJANI.jpg","https://besturdubooks.net/wp-content/uploads/2014/06/duaen-qabo"
16672,"Khutbat e Azad By Maulana Abul Kalam Azad خطبات آزاد","Maulana Abul Kalam Azad","https://besturdubooks.net/wp-content/uploads/2015/01/khutbat-e-azad.jpg","https://besturdubooks.net/wp-content/uploads/2014/01/amal-se-zi"
16486,"Duaen Qabool na Honay ki Wajuhaat - دعائیں قبول نہ ہونے کی وجوہات","Maulana Zulfiqar Ahmad Naqshbandi","https://besturdubooks.net/wp-content/uploads/2014/06/duaen-qabool-na-honay-ki-wajuhaat.jpg","https://besturdubooks.net/wp-content/uploads/2015/03/maulana-il"
16687,"Amal se Zindagi Banti hai - عمل سے زندگی بنتی ہے","Maulana Zulfiqar Ahmad Naqshbandi","https://besturdubooks.net/wp-content/uploads/2014/01/amal-se-zindagi-banti-hai.jpg","https://besturdubooks.net/wp-content/uploads/2014/01/muhazarat-"
16366,"Maulana Ilyas aur unki Dini Dawat By Maulana Abul Hasan Ali Nadvi مولانا الیاس اور ان کی دینی دعوت","Maulana Abul Hasan Ali Nadvi","https://besturdubooks.net/wp-content/uploads/2015/03/maulana-ilyas-aur-unki-dini-dawat.jpg","https://besturdubooks.net/wp-content/uploads/2013/11/Maqalat-E-"
15500,"Muhazarat e Maeeshat o Tijarat By Dr. Mahmood Ahmad Ghazi محاضرات معیشت و تجارت","Dr. Mahmood Ahmad Ghazi","https://besturdubooks.net/wp-content/uploads/2014/01/muhazarat-e-maeeshat-o-tijarat.jpg","https://besturdubooks.net/wp-content/uploads/2016/05/zabaan-ki-"
16692,"Maqalat e Shibli By Allama Shibli Nomani مقالات شبلی","Allama Shibli Nomani","https://besturdubooks.net/wp-content/uploads/2013/11/Maqalat-E-Shibli.jpg","https://besturdubooks.net/wp-content/uploads/2024/07/ALIYAH_BAN"
13856,"Zaban ki Hifazat By Maulana Ashiq Ilahi Buland Shehri زبان کی حفاظت","Maulana Ashiq Ilahi Bulandshehri","https://besturdubooks.net/wp-content/uploads/2016/05/zabaan-ki-hifazat-1.jpg","https://besturdubooks.net/wp-content/uploads/2024/07/ALIYAH_BAN"
20270,"مشکوۃ المصابیح قدیمی کتب خانہ","نامعلوم","https://besturdubooks.net/wp-content/uploads/2024/07/ALIYAH_BANAT_TALIBAT_WIFAQ.jpg","https://besturdubooks.net/wp-content/uploads/2024/07/ALMIYAH_BA"
20271,"مشکوۃ المصابیح مکتبہ رحمانیہ","نامعلوم","https://besturdubooks.net/wp-content/uploads/2024/07/ALIYAH_BANAT_TALIBAT_WIFAQ.jpg","https://besturdubooks.net/wp-content/uploads/2013/09/muhazirat-"
20278,"کتاب تیسیر مصطلح الحدیث","نامعلوم","https://besturdubooks.net/wp-content/uploads/2024/07/ALMIYAH_BANAT_TALIBAT_WIFAQ.jpg","https://besturdubooks.net/wp-content/uploads/2024/07/ALIYAH_BAN"
15397,"Muhazaraat e Seerat By Dr. Mahmood Ahmad Ghazi محاضرات سیرت","Dr. Mahmood Ahmad Ghazi","https://besturdubooks.net/wp-content/uploads/2013/09/muhazirat-eseerat-1.jpg","https://besturdubooks.net/wp-content/uploads/2021/01/AL_AUNUL_K"
20269,"کتاب مشکاۃ المصابیح","نامعلوم","https://besturdubooks.net/wp-content/uploads/2024/07/ALIYAH_BANAT_TALIBAT_WIFAQ.jpg","https://besturdubooks.net/wp-content/uploads/2015/12/payam-e-se"
13547,"Al Aun ul Kabir Arabic Sharh Al Faozul Kabir - العون الکبیر عربی شرح الفوز الکبیر","Maulana Saeed Ahmad Palanpuri","https://besturdubooks.net/wp-content/uploads/2021/01/AL_AUNUL_KABEER.jpg","https://besturdubooks.net/wp-content/uploads/2018/02/Qurani-Ifa"
15367,"Payam e Seerat By Maulana Khalid Saifullah Rahmani پیام سیرت عصر حاضر کے پس منظر میں","Maulana Khalid Saifullah Rahmani","https://besturdubooks.net/wp-content/uploads/2015/12/payam-e-seerat.jpg","https://besturdubooks.net/wp-content/uploads/2021/03/ALFIYATUL_"
13477,"Qurani Ifadaat By Maulana Abul Hasan Ali Nadvi قرآنی افادات","Maulana Abul Hasan Ali Nadvi","https://besturdubooks.net/wp-content/uploads/2018/02/Qurani-Ifadaat.jpg","https://besturdubooks.net/wp-content/uploads/2024/07/KHASA_BANA"
13700,"Alfiyatul Hadith By Maulana Manzoor Nomani الفیۃ الحدیث","Maulana Manzoor Nomani","https://besturdubooks.net/wp-content/uploads/2021/03/ALFIYATUL_HADITH.jpg","https://besturdubooks.net/wp-content/uploads/2017/04/GUNAHON-SA"
13588,"خلاصۃ التجوید از قاری اظہار احمد تھانوی صاحب","نامعلوم","https://besturdubooks.net/wp-content/uploads/2024/07/KHASA_BANAT_TALIBAT_WIFAQ.jpg","https://besturdubooks.net/wp-content/uploads/2024/07/JAWAME_UL_"
15215,"Gunahon se Tauba Kijiye - گناھوں سے توبہ کیجئے","Maulana Zulfiqar Ahmad Naqshbandi","https://besturdubooks.net/wp-content/uploads/2017/04/GUNAHON-SAY-TAUBA-KIJIYE.jpg","https://besturdubooks.net/wp-content/uploads/2024/07/ALIYAH_BAN"
13645,"Jawamiul Kalim By Mufti Muhammad Shafi جوامع الکلم","Mufti Muhammad Shafi Usmani","https://besturdubooks.net/wp-content/uploads/2024/07/JAWAME_UL_KALIM.jpg","https://besturdubooks.net/wp-content/uploads/2018/08/HAJJ_O_UMR"
15078,"اشرف الفوائد شرح اردو شرح العقائد مفتی فدا محمد صاحب","نامعلوم","https://besturdubooks.net/wp-content/uploads/2024/07/ALIYAH_BANAT_TALIBAT_WIFAQ.jpg","https://besturdubooks.net/wp-content/uploads/2016/04/hajj-o-umr"
14372,"Aham Masail - اہم مسائل","Mufti Muhammad Jafar Milly","https://besturdubooks.net/wp-content/uploads/2018/08/HAJJ_O_UMRAH_K_AHAM_MASAIL.jpg","https://besturdubooks.net/wp-content/uploads/2014/07/zakat-kay-"
14377,"Hajj o Umrah حج وعمرہ","Maulana Yusuf Ludhianvi","https://besturdubooks.net/wp-content/uploads/2016/04/hajj-o-umrah.jpg","https://besturdubooks.net/wp-content/uploads/2014/02/durood-sha"
14396,"Zakat kay Masail ka Encyclopedia - زکوۃ کے مسائل کا انسائیکلوپیڈیا","Mufti Inam ul Haq Qasmi","https://besturdubooks.net/wp-content/uploads/2014/07/zakat-kay-masail-ka-encyclopedia.jpg","https://besturdubooks.net/wp-content/uploads/2013/10/Mustanad-N"
